gen,idx,w_pnl,w_sortino,w_mdd,fitness,eval_pnl,eval_sortino,eval_drawdown,eval_ret_mean
0,0,1.1758,1.1489,0.4512,59.2857,1.5667,50.0000,0.0000,-2.6706
0,1,1.1912,0.6424,1.2041,36.3842,4.3187,50.0000,0.7297,-3.0117
0,2,0.1134,1.4067,1.4572,-24.4692,-4.8739,-15.7547,1.2044,-3.5533
0,3,1.6382,0.3938,0.4100,10.8420,1.5592,21.0430,0.0000,-2.2715
0,4,0.4775,0.2210,1.6889,4.7305,2.0259,17.0280,0.0000,-3.4628
0,5,1.1520,0.3199,0.0356,304.2163,4.7356,934.9684,9.6986,-6.1926
0,6,0.3384,1.3777,0.9233,69.9045,3.0063,50.0000,0.0000,-4.0042
0,7,0.5140,0.7494,0.5506,41.4500,7.7439,50.0000,0.0000,-3.4404
0,8,0.9693,1.6798,1.7727,468.4510,4.4200,286.3801,9.5331,-2.3468
0,9,1.7852,1.7460,1.1512,-24.4491,-1.2347,-11.0655,2.5406,-1.9284
0,10,0.1149,1.1487,0.4474,-16.7581,-3.2055,-14.2678,0.0000,-3.3434
0,11,1.2907,0.9821,1.2106,-13.4411,-3.4245,-9.1857,0.0000,-2.4630
0,12,0.0082,1.8838,1.1136,94.2436,6.4805,50.0000,0.0000,-1.9276
0,13,0.2424,1.6498,1.4575,83.3334,3.4704,50.0000,0.0000,-1.8776
0,14,0.9770,1.4739,0.5296,6.7918,0.3589,4.3702,0.0000,-3.7649
0,15,0.6441,0.2781,1.2581,-10.5008,-8.1184,-15.8604,0.6838,-4.3007
0,16,0.1102,1.2190,0.7613,-19.3746,-0.5389,-15.7659,0.1267,-4.2185
0,17,0.4432,0.6319,0.5313,-12.3097,-3.3893,-9.9732,8.4802,-1.7749
0,18,0.3475,1.8961,0.8322,-1.0062,1.3025,5.2568,13.7297,-2.3246
0,19,1.3567,1.3807,1.5632,79.4402,7.6707,50.0000,0.0000,-2.2498
0,20,0.7627,0.4574,0.8274,0.6678,0.0287,1.4121,0.0000,-4.5217
0,21,1.6756,0.2722,1.7382,-14.5692,-6.2673,-14.9441,0.0000,-2.1287
