recorded_at_utc,dataset_window,instrument,contract,bar_type,candle_mode,source_rows,strategy,calculation_mode,fast_length,slow_length,selection,take_profit_ticks,stop_loss_ticks,use_trailing_stop,trail_trigger_ticks,trail_offset_ticks,gross_pnl,fees,net_pnl,max_drawdown,net_to_drawdown,trade_count,fill_count,win_rate_pct,profit_factor,execution_backend,source_output,strategy_parameters
2026-08-06,2026-07-05T22:00:00Z/2026-08-03T23:47:00Z,ES,ESU6,minute_1,heikin_ashi,29087,HmaCross,incremental,36,300,baseline_risk_ratio,0,0,false,0,0,9012.50,3067.20,5945.30,12079.28,0.492190,533,1065,37.0301,1.063878,prepared_cpu,/tmp/midas-es-1m-ha-hma-incremental-output-v6,{}
2026-08-06,2026-07-05T22:00:00Z/2026-08-03T23:47:00Z,ES,ESU6,minute_1,heikin_ashi,29087,HmaCross,incremental,36,300,tpsl_best_risk_ratio,40,0,false,0,0,12512.50,3067.20,9445.30,4259.26,2.217592,533,1065,43.6090,1.118449,prepared_cpu,/tmp/midas-es-1m-ha-hma36-300-tpsl-output-v1,{}
2026-08-06,2026-07-05T22:00:00Z/2026-08-03T23:47:00Z,ES,ESU6,minute_1,heikin_ashi,29087,HmaCross,incremental,36,300,tpsl_best_net,60,0,false,0,0,13012.50,3067.20,9945.30,5796.76,1.715665,533,1065,40.9774,1.117336,prepared_cpu,/tmp/midas-es-1m-ha-hma36-300-tpsl-output-v1,{}
2026-08-06,2026-07-05T22:00:00Z/2026-08-03T23:47:00Z,ES,ESU6,minute_1,heikin_ashi,29087,HmaCross,incremental,36,300,trail_best_risk_ratio,40,0,true,20,30,11850.00,3067.20,8782.80,4532.68,1.937662,533,1065,40.4135,1.133875,prepared_cpu,/tmp/midas-es-1m-ha-hma36-300-trail-output-v1,{}
2026-08-06,2026-07-05T22:00:00Z/2026-08-03T23:35:00Z,GC,GCZ6,minute_1,heikin_ashi,19191,HmaCross,incremental,7,300,baseline_risk_ratio,0,0,false,0,0,47270.00,4445.40,42824.60,25981.70,1.648260,717,1434,33.3333,1.278473,prepared_cpu,/tmp/midas-gc-1m-ha-hma-incremental-output-v6,{}
2026-08-06,2026-07-05T22:00:00Z/2026-08-03T23:35:00Z,GC,GCZ6,minute_1,heikin_ashi,19191,HmaCross,incremental,7,300,tpsl_best_risk_ratio,0,20,false,0,0,51990.00,4445.40,47544.60,8883.90,5.351771,717,1434,26.9177,1.493720,prepared_cpu,/tmp/midas-gc-1m-ha-hma7-300-tpsl-output-v1,{}
2026-08-06,2026-07-05T22:00:00Z/2026-08-03T23:35:00Z,GC,GCZ6,minute_1,heikin_ashi,19191,HmaCross,incremental,7,300,trail_best_risk_ratio,0,20,true,10,10,52240.00,4445.40,47794.60,1819.90,26.262212,717,1434,57.7406,1.958026,prepared_cpu,/tmp/midas-gc-1m-ha-hma7-300-trail-output-v1,{}
2026-08-06,2026-07-05T22:00:00Z/2026-08-03T23:35:00Z,GC,GCZ6,minute_1,heikin_ashi,19191,HmaCross,incremental,7,300,trail_best_net,0,20,true,40,5,57190.00,4445.40,52744.60,3295.10,16.006980,717,1434,39.6095,1.664921,prepared_cpu,/tmp/midas-gc-1m-ha-hma7-300-trail-output-v1,{}
2026-08-06,2026-07-31T16:14:33.859Z/2026-08-03T23:59:55.024Z,ES,ESU6,volume_500,heikin_ashi,4088,Adx,reference,,,signal_best_risk_ratio,0,0,false,0,0,3150.00,161.28,2988.72,548.04,5.453471,28,30,50.0000,2.198777,batch_cpu_reference,/tmp/midas-es-volume500-ha-adx-output-v1,"{""native_adx.adx_length"":21,""native_adx.adx_entry_threshold"":30,""native_adx.adx_exit_threshold"":10,""native_adx.di_imbalance_threshold"":0.1,""native_adx.slope_lookback"":1,""native_adx.breakout_lookback"":20}"
2026-08-06,2026-07-27T22:00:00.371Z/2026-08-03T23:19:31.502Z,GC,GCZ6,volume_500,heikin_ashi,903,Adx,reference,,,signal_best_risk_ratio,0,0,false,0,0,13790.00,80.60,13709.40,2849.30,4.811498,13,17,61.5385,3.089529,batch_cpu_reference,/tmp/midas-gc-volume500-ha-adx-output-v1,"{""native_adx.adx_length"":7,""native_adx.adx_entry_threshold"":20,""native_adx.adx_exit_threshold"":10,""native_adx.di_imbalance_threshold"":0.05,""native_adx.slope_lookback"":1,""native_adx.breakout_lookback"":20}"
2026-08-06,2026-07-31T16:14:33.859Z/2026-08-03T23:59:55.024Z,ES,ESU6,volume_500,heikin_ashi,4088,Adx,reference,,,tpsl_best_risk_and_net,0,20,false,0,0,3175.00,161.28,3013.72,550.92,5.470341,28,30,50.0000,2.221049,batch_cpu_reference,/tmp/midas-es-volume500-ha-adx-tpsl-output-v1,"{""native_adx.adx_length"":21,""native_adx.adx_entry_threshold"":30,""native_adx.adx_exit_threshold"":10,""native_adx.di_imbalance_threshold"":0.1,""native_adx.slope_lookback"":1,""native_adx.breakout_lookback"":20,""native_adx.take_profit_ticks"":0,""native_adx.stop_loss_ticks"":20}"
2026-08-06,2026-07-31T16:14:33.859Z/2026-08-03T23:59:55.024Z,ES,ESU6,volume_500,heikin_ashi,4088,Adx,reference,,,trail_best_risk_ratio,0,20,true,60,60,3175.00,161.28,3013.72,550.92,5.470341,28,30,50.0000,2.221049,batch_cpu_reference,/tmp/midas-es-volume500-ha-adx-trail-output-v1,"{""native_adx.adx_length"":21,""native_adx.adx_entry_threshold"":30,""native_adx.adx_exit_threshold"":10,""native_adx.di_imbalance_threshold"":0.1,""native_adx.slope_lookback"":1,""native_adx.breakout_lookback"":20,""native_adx.take_profit_ticks"":0,""native_adx.stop_loss_ticks"":20,""native_adx.trail_trigger_ticks"":60,""native_adx.trail_offset_ticks"":60}"
2026-08-06,2026-07-27T22:00:00.371Z/2026-08-03T23:19:31.502Z,GC,GCZ6,volume_500,heikin_ashi,903,Adx,reference,,,tpsl_best_net_robust,0,100,false,0,0,14450.00,80.60,14369.40,2015.50,7.129447,13,17,53.8462,3.748967,batch_cpu_reference,/tmp/midas-gc-volume500-ha-adx-tpsl-output-v1,"{""native_adx.adx_length"":7,""native_adx.adx_entry_threshold"":20,""native_adx.adx_exit_threshold"":10,""native_adx.di_imbalance_threshold"":0.05,""native_adx.slope_lookback"":1,""native_adx.breakout_lookback"":20,""native_adx.take_profit_ticks"":0,""native_adx.stop_loss_ticks"":100}"
2026-08-06,2026-07-27T22:00:00.371Z/2026-08-03T23:19:31.502Z,GC,GCZ6,volume_500,heikin_ashi,903,Adx,reference,,,trail_best_net_robust,0,100,true,80,5,7159.99,80.60,7079.40,1009.30,7.014168,13,17,76.9231,3.345259,batch_cpu_reference,/tmp/midas-gc-volume500-ha-adx-trail-robust-output-v1,"{""native_adx.adx_length"":7,""native_adx.adx_entry_threshold"":20,""native_adx.adx_exit_threshold"":10,""native_adx.di_imbalance_threshold"":0.05,""native_adx.slope_lookback"":1,""native_adx.breakout_lookback"":20,""native_adx.take_profit_ticks"":0,""native_adx.stop_loss_ticks"":100,""native_adx.trail_trigger_ticks"":80,""native_adx.trail_offset_ticks"":5}"
2026-08-06,2026-07-27T22:00:00.371Z/2026-08-03T23:19:31.502Z,GC,GCZ6,volume_500,heikin_ashi,903,Adx,reference,,,tpsl_short_window_high_ratio,60,0,false,0,0,7800.00,80.60,7719.40,3.10,2490.129032,13,17,100.0000,,batch_cpu_reference,/tmp/midas-gc-volume500-ha-adx-tpsl-output-v1,"{""native_adx.adx_length"":7,""native_adx.adx_entry_threshold"":20,""native_adx.adx_exit_threshold"":10,""native_adx.di_imbalance_threshold"":0.05,""native_adx.slope_lookback"":1,""native_adx.breakout_lookback"":20,""native_adx.take_profit_ticks"":60,""native_adx.stop_loss_ticks"":0}"
2026-08-06,2026-07-27T22:00:00.371Z/2026-08-03T23:19:31.502Z,GC,GCZ6,volume_500,heikin_ashi,903,Adx,reference,,,trail_short_window_high_ratio,60,0,true,60,40,4600.00,80.60,4519.40,1009.30,4.477757,13,17,84.6154,3.245776,batch_cpu_reference,/tmp/midas-gc-volume500-ha-adx-trail-highratio-output-v1,"{""native_adx.adx_length"":7,""native_adx.adx_entry_threshold"":20,""native_adx.adx_exit_threshold"":10,""native_adx.di_imbalance_threshold"":0.05,""native_adx.slope_lookback"":1,""native_adx.breakout_lookback"":20,""native_adx.take_profit_ticks"":60,""native_adx.stop_loss_ticks"":0,""native_adx.trail_trigger_ticks"":60,""native_adx.trail_offset_ticks"":40}"
2026-08-06,2026-07-31T16:14:33.859Z/2026-08-03T23:59:55.024Z,ES,ESU6,volume_500,heikin_ashi,4088,Adx,reference,,,small_tp_low_drawdown,5,0,false,0,0,1112.50,161.28,951.22,307.66,3.091790,28,30,89.2857,3.035653,batch_cpu_reference,/tmp/midas-es-volume500-ha-adx-small-tp-output-v1,"{""native_adx.adx_length"":21,""native_adx.adx_entry_threshold"":30,""native_adx.adx_exit_threshold"":10,""native_adx.di_imbalance_threshold"":0.1,""native_adx.slope_lookback"":1,""native_adx.breakout_lookback"":20,""native_adx.take_profit_ticks"":5,""native_adx.stop_loss_ticks"":0}"
